Time,led,Heater,Humidifier,Pump,Temperature(*C),Humidity(%),Soil moisture
16.20.00,on,off,on,off,17,40,0.25715264096069057
16.30.00,on,on,on,off,16,29,0.25715264096069057
16.40.02,on,off,on,off,17,36,0.2555341670179383
16.50.00,on,on,on,off,16,31,0.2604046677959724
17.00.00,on,on,on,off,16,40,0.2604046677959724
17.10.02,on,on,on,off,16,42,0.2587761334272962
17.20.02,on,on,on,off,16,42,0.2587761334272962
17.30.00,on,on,on,off,16,41,0.2587761334272962
17.40.02,on,on,on,off,16,40,0.2587761334272962
17.50.02,on,on,on,off,16,42,0.2587761334272962
18.00.00,off,on,on,off,16,42,0.25715264096069057
18.10.02,off,on,on,off,15,41,0.25715264096069057
18.20.00,off,on,on,off,15,43,0.25715264096069057
18.30.00,off,on,on,off,15,41,0.25715264096069057
18.40.00,off,on,on,off,15,41,0.2555341670179383
18.50.04,off,on,on,off,15,42,0.2555341670179383
19.00.00,off,on,on,off,15,46,0.2555341670179383
19.10.00,off,on,on,off,15,45,0.2620382675903672
19.20.00,off,on,on,off,15,42,0.2620382675903672
19.30.02,off,on,on,off,15,42,0.2620382675903672
19.40.02,off,on,on,off,15,42,0.2620382675903672
19.50.00,off,on,on,off,15,40,0.2620382675903672
20.00.00,off,on,on,off,15,37,0.2636769564806949
20.10.02,off,on,on,off,15,41,0.2653207582848769
20.20.00,off,on,on,off,15,39,0.2653207582848769
20.30.04,off,on,on,off,14,41,0.2636769564806949
20.40.00,off,on,on,off,14,43,0.2636769564806949
20.50.02,off,on,on,off,14,40,0.2636769564806949
21.00.00,off,on,on,off,15,50,0.2555341670179383
21.10.00,off,on,on,off,15,49,0.2604046677959724
21.20.00,off,on,on,off,14,49,0.2587761334272962
21.30.00,off,on,on,off,14,48,0.2604046677959724
21.40.00,off,on,on,off,14,47,0.2604046677959724
21.50.00,off,on,on,off,14,45,0.2604046677959724
22.00.00,off,on,on,off,14,47,0.2604046677959724
22.10.00,off,on,on,off,14,46,0.2604046677959724
22.20.02,off,on,on,off,14,47,0.2604046677959724
22.30.00,off,on,on,off,14,44,0.2604046677959724
22.40.00,off,on,on,off,14,45,0.2604046677959724
22.50.00,off,on,on,off,14,42,0.2604046677959724
23.00.02,off,on,on,off,14,43,0.2587761334272962
23.10.00,off,on,on,off,14,47,0.2587761334272962
23.20.00,off,on,on,off,14,48,0.2604046677959724
23.30.00,off,on,on,off,14,42,0.2587761334272962
23.40.00,off,on,on,off,14,48,0.2604046677959724
23.50.00,off,on,on,off,14,45,0.2604046677959724
00.00.02,off,on,on,off,14,47,0.2587761334272962
00.10.00,off,on,on,off,14,49,0.2587761334272962
00.20.00,off,on,on,off,14,43,0.2587761334272962
00.30.02,off,on,on,off,14,49,0.2587761334272962
00.40.00,off,on,on,off,14,49,0.2587761334272962
00.50.00,off,on,on,off,14,49,0.2587761334272962
01.00.00,off,on,on,off,14,48,0.2587761334272962
01.10.00,off,on,on,off,14,45,0.2587761334272962
01.20.00,off,on,on,off,14,47,0.2587761334272962
01.30.02,off,on,on,off,14,44,0.2587761334272962
01.40.00,off,on,on,off,14,47,0.2587761334272962
01.50.00,off,on,on,off,14,46,0.2587761334272962
02.00.04,off,on,on,off,14,48,0.2587761334272962
02.10.00,off,on,on,off,14,50,0.25715264096069057
02.20.02,off,on,on,off,14,46,0.2587761334272962
02.30.02,off,on,on,off,14,48,0.2587761334272962
02.40.00,off,on,on,off,14,48,0.25715264096069057
02.50.00,off,on,on,off,14,50,0.25715264096069057
03.00.00,off,on,on,off,14,48,0.25715264096069057
03.10.00,off,on,on,off,14,47,0.25715264096069057
03.20.00,off,on,on,off,14,48,0.25715264096069057
03.30.00,off,on,on,off,14,48,0.25715264096069057
03.40.02,off,on,on,off,14,49,0.25715264096069057
03.50.00,off,on,on,off,14,45,0.25715264096069057
04.00.00,off,on,on,off,14,48,0.25715264096069057
04.10.02,off,on,on,off,14,50,0.25715264096069057
04.20.00,off,on,on,off,14,51,0.25715264096069057
04.30.02,off,on,on,off,14,49,0.25715264096069057
04.40.00,off,on,on,off,14,49,0.25715264096069057
04.50.00,off,on,on,off,14,48,0.25715264096069057
05.00.02,off,on,on,off,14,50,0.25715264096069057
05.10.00,off,on,on,off,14,48,0.25715264096069057
05.20.00,off,on,on,off,14,51,0.2587761334272962
05.30.00,off,on,on,off,14,46,0.2587761334272962
05.40.00,off,on,on,off,14,51,0.25715264096069057
05.50.04,off,on,on,off,14,52,0.25715264096069057
06.00.00,off,on,on,off,14,51,0.25715264096069057
06.10.00,off,on,on,off,14,53,0.2587761334272962
06.20.00,off,on,on,off,14,51,0.2587761334272962
06.30.02,off,on,on,off,14,46,0.2587761334272962
06.40.00,off,on,on,off,14,51,0.25715264096069057
06.50.00,off,on,on,off,14,45,0.2587761334272962
07.00.00,off,on,on,off,13,45,0.2587761334272962
07.10.00,off,on,on,off,13,47,0.2587761334272962
07.20.00,off,on,on,off,13,47,0.2587761334272962
07.30.00,off,on,on,off,13,48,0.2587761334272962
07.40.02,off,on,on,off,13,49,0.2587761334272962
07.50.02,off,on,on,off,13,50,0.2587761334272962
08.00.00,on,on,on,off,13,47,0.2587761334272962
08.10.00,on,on,on,off,13,49,0.2587761334272962
08.20.02,on,on,on,off,13,48,0.2587761334272962
08.30.02,on,on,on,off,13,49,0.2587761334272962
08.40.00,on,on,on,off,14,52,0.2587761334272962
08.50.00,on,on,on,off,14,48,0.25715264096069057
09.00.00,on,on,on,off,15,47,0.25715264096069057
09.10.00,on,on,on,off,16,45,0.2555341670179383
09.20.00,on,off,on,off,17,45,0.2555341670179383
09.30.00,on,on,on,off,16,48,0.2555341670179383
09.40.00,on,off,on,off,17,46,0.2555341670179383
09.50.00,on,off,on,off,17,49,0.2555341670179383
10.00.00,on,off,on,off,17,49,0.2539206883651328
10.10.00,on,off,on,off,17,50,0.2539206883651328
10.20.00,on,off,on,off,17,53,0.2539206883651328
10.30.00,on,off,on,off,17,54,0.2539206883651328
10.40.00,on,off,on,off,17,53,0.2539206883651328
10.50.00,on,off,on,off,17,51,0.2539206883651328
11.00.00,on,off,on,off,17,48,0.2539206883651328
11.10.02,on,off,on,off,17,45,0.2555341670179383
11.20.00,on,on,on,off,16,45,0.2555341670179383
11.30.00,on,off,on,off,17,44,0.2555341670179383
11.40.00,on,on,on,off,16,43,0.2555341670179383
11.50.00,on,off,on,off,17,42,0.2555341670179383
12.00.02,on,on,on,off,16,39,0.2555341670179383
12.10.00,on,on,on,off,16,39,0.2555341670179383
12.20.00,on,on,on,off,16,37,0.2555341670179383
12.30.00,on,on,on,off,16,35,0.2555341670179383
12.40.00,on,on,on,off,16,37,0.25715264096069057
12.50.02,on,on,on,off,16,39,0.25715264096069057
13.00.00,on,on,on,off,16,36,0.25715264096069057
13.10.00,on,on,on,off,16,35,0.25715264096069057
13.20.00,on,on,on,off,16,44,0.25715264096069057
13.30.04,on,off,on,off,17,44,0.25715264096069057
13.40.00,on,off,on,off,17,45,0.2555341670179383
